type,state,variable,level,likely,Frequency,WgtFreq,pct,pctSE,pctLB,pctUB
ABC Unweighted,AZ,trumpind,0,1,309,,0.4912559618,0.0199488479,0.4520827408,0.5304291829
ABC Unweighted,AZ,trumpind,1,1,320,,0.5087440382,0.0199488479,0.4695708171,0.5479172592
ABC Unweighted,AZ,male,0,1,277,,0.440381558,0.0198095589,0.4014818564,0.4792812597
ABC Unweighted,AZ,male,1,1,352,,0.559618442,0.0198095589,0.5207187403,0.5985181436
ABC Unweighted,AZ,age1,0,1,586,,0.9316375199,0.0100703978,0.9118624471,0.9514125926
ABC Unweighted,AZ,age1,1,1,43,,0.0683624801,0.0100703978,0.0485874074,0.0881375529
ABC Unweighted,AZ,age2,0,1,608,,0.9666136725,0.0071684461,0.9525371139,0.9806902311
ABC Unweighted,AZ,age2,1,1,21,,0.0333863275,0.0071684461,0.0193097689,0.0474628861
ABC Unweighted,AZ,age3,0,1,575,,0.9141494436,0.0111787796,0.8921978599,0.9361010272
ABC Unweighted,AZ,age3,1,1,54,,0.0858505564,0.0111787796,0.0638989728,0.1078021401
ABC Unweighted,AZ,age4,0,1,540,,0.8585055644,0.0139077051,0.831195235,0.8858158937
ABC Unweighted,AZ,age4,1,1,89,,0.1414944356,0.0139077051,0.1141841063,0.168804765
ABC Unweighted,AZ,age5,0,1,475,,0.7551669316,0.0171581616,0.7214737348,0.7888601285
ABC Unweighted,AZ,age5,1,1,154,,0.2448330684,0.0171581616,0.2111398715,0.2785262652
ABC Unweighted,AZ,age6,0,1,361,,0.573926868,0.0197326125,0.5351782648,0.6126754713
ABC Unweighted,AZ,age6,1,1,268,,0.426073132,0.0197326125,0.3873245287,0.4648217352
ABC Unweighted,AZ,hsless,0,1,503,,0.799682035,0.0159710274,0.7683199939,0.8310440761
ABC Unweighted,AZ,hsless,1,1,126,,0.200317965,0.0159710274,0.1689559239,0.2316800061
ABC Unweighted,AZ,somecoll,0,1,396,,0.6295707472,0.0192703296,0.5917299212,0.6674115732
ABC Unweighted,AZ,somecoll,1,1,233,,0.3704292528,0.0192703296,0.3325884268,0.4082700788
ABC Unweighted,AZ,coll,0,1,453,,0.720190779,0.0179130288,0.685015262,0.755366296
ABC Unweighted,AZ,coll,1,1,176,,0.279809221,0.0179130288,0.244633704,0.314984738
ABC Unweighted,AZ,postcoll,0,1,536,,0.8521462639,0.0141640503,0.8243325538,0.879959974
ABC Unweighted,AZ,postcoll,1,1,93,,0.1478537361,0.0141640503,0.120040026,0.1756674462
ABC Unweighted,AZ,white,0,1,167,,0.2655007949,0.0176214975,0.2308977531,0.3001038367
ABC Unweighted,AZ,white,1,1,462,,0.7344992051,0.0176214975,0.6998961633,0.7691022469
ABC Unweighted,AZ,black,0,1,606,,0.9634340223,0.0074896896,0.9487266432,0.9781414013
ABC Unweighted,AZ,black,1,1,23,,0.0365659777,0.0074896896,0.0218585987,0.0512733568
ABC Unweighted,AZ,hisp,0,1,535,,0.8505564388,0.0142267077,0.8226196894,0.8784931882
ABC Unweighted,AZ,hisp,1,1,94,,0.1494435612,0.0142267077,0.1215068118,0.1773803106
ABC Unweighted,AZ,other,0,1,589,,0.9364069952,0.0097375844,0.9172854627,0.9555285278
ABC Unweighted,AZ,other,1,1,40,,0.0635930048,0.0097375844,0.0444714722,0.0827145373
ABC Unweighted,AZ,lib,0,1,509,,0.8092209857,0.0156788102,0.7784327666,0.8400092048
ABC Unweighted,AZ,lib,1,1,120,,0.1907790143,0.0156788102,0.1599907952,0.2215672334
ABC Unweighted,AZ,noideo,0,1,618,,0.9825119237,0.005230632,0.9722406185,0.9927832289
ABC Unweighted,AZ,noideo,1,1,11,,0.0174880763,0.005230632,0.0072167711,0.0277593815
ABC Unweighted,AZ,demparty,0,1,363,,0.5771065183,0.0197132269,0.5383959822,0.6158170543
ABC Unweighted,AZ,demparty,1,1,266,,0.4228934817,0.0197132269,0.3841829457,0.4616040178
ABC Unweighted,FL,trumpind,0,1,406,,0.4915254237,0.0174051638,0.457362291,0.5256885564
ABC Unweighted,FL,trumpind,1,1,420,,0.5084745763,0.0174051638,0.4743114436,0.542637709
ABC Unweighted,FL,male,0,1,365,,0.4418886199,0.0172896957,0.40795213,0.4758251098
ABC Unweighted,FL,male,1,1,461,,0.5581113801,0.0172896957,0.5241748902,0.59204787
ABC Unweighted,FL,age1,0,1,772,,0.9346246973,0.0086058938,0.9177329119,0.9515164828
ABC Unweighted,FL,age1,1,1,54,,0.0653753027,0.0086058938,0.0484835172,0.0822670881
ABC Unweighted,FL,age2,0,1,797,,0.9648910412,0.0064079426,0.9523134294,0.9774686529
ABC Unweighted,FL,age2,1,1,29,,0.0351089588,0.0064079426,0.0225313471,0.0476865706
