kidflag,Race,FEMNUMBABES,FEMPARTS12,smartphone,census_region,rwrkst,AGEFSTSX,educat,inccat,marcat,agecat,LIFEPRTS,WRK12MOS,lifeprts_rc,femparts12_rc,lifeprts_rc_new,agecat_3,race_other,marcat_4,educat_3,inccat_2,region_south,indic1,indic2,indic
1,Other,1,1,0,South,0,18,2,1,1,3,3,0,3,1,3,1,1,0,0,0,1,0,0,0
1,Other,0,,1,South,1,,1,2,4,1,0,12,0,,0,0,1,1,0,1,1,0,0,0
0,Other,0,1,1,South,1,16,3,2,4,2,3,12,3,1,3,0,1,1,1,1,1,0,0,0
0,Other,0,,1,South,1,,3,2,4,2,0,12,0,,0,0,1,1,1,1,1,0,0,0
1,Other,2,1,1,South,1,20,4,3,1,3,1,12,1,1,1,1,1,0,0,0,1,0,0,0
1,Other,2,1,1,South,0,15,3,3,1,3,2,6,2,1,2,1,1,0,1,0,1,0,0,0
0,Hisp,0,1,0,South,1,22,3,2,1,3,1,12,1,1,1,1,0,0,1,1,1,0,0,0
0,Hisp,0,1,0,South,0,20,1,1,3,3,1,12,1,1,1,1,0,0,0,0,1,0,0,0
1,Hisp,0,,1,South,0,,1,1,4,1,0,0,0,,0,0,0,1,0,0,1,0,0,0
0,Hisp,0,1,1,South,1,19,3,3,4,2,1,12,1,1,1,0,0,1,1,0,1,0,0,0
0,Other,0,,1,South,1,,2,1,4,1,0,3,0,,0,0,1,1,0,0,1,0,0,0
0,Other,0,1,1,South,1,15,3,3,1,2,5,12,5,1,5,0,1,0,1,0,1,0,0,0
1,Other,0,1,1,South,1,15,3,2,1,2,8,10,7,1,7,0,1,0,1,1,1,0,0,0
0,Other,1,2,1,South,0,14,2,2,2,3,11,0,7,2,7,1,1,0,0,1,1,0,0,0
1,Other,2,1,1,South,0,13,4,1,4,3,,8,,1,,1,1,1,0,0,1,0,0,0
0,Other,0,,0,South,0,,2,2,4,2,0,0,0,,0,0,1,1,0,1,1,0,0,0
1,Hisp,1,1,1,South,1,20,2,2,1,2,1,12,1,1,1,0,0,0,0,1,1,0,0,0
1,Other,3,1,1,South,0,17,3,2,1,2,14,0,7,1,7,0,1,0,1,1,1,0,0,0
1,Other,1,1,1,South,0,21,3,3,1,2,1,0,1,1,1,0,1,0,1,0,1,0,0,0
1,Other,2,1,1,South,1,19,2,2,4,3,6,12,6,1,6,1,1,1,0,1,1,0,0,0
0,Other,1,1,1,South,1,22,3,2,3,3,4,12,4,1,4,1,1,0,1,1,1,0,0,0
1,Other,3,1,1,South,1,14,1,2,1,3,88,12,7,1,7,1,1,0,0,1,1,0,0,0
1,Other,0,,1,South,0,,1,2,4,1,0,0,0,,0,0,1,1,0,1,1,0,0,0
0,Black,0,1,1,South,1,16,3,2,1,3,5,12,5,1,5,1,0,0,1,1,1,0,0,0
0,Black,0,,1,South,0,,1,1,4,1,0,0,0,,0,0,0,1,0,0,1,0,0,0
0,Black,0,0,1,South,1,17,3,1,4,2,4,12,4,0,4,0,0,1,1,0,1,0,0,0
1,Black,1,1,1,South,1,16,2,1,1,2,4,12,4,1,4,0,0,0,0,0,1,0,0,0
1,Hisp,2,1,1,South,0,17,3,2,1,2,6,8,6,1,6,0,0,0,1,1,1,0,0,0
0,Other,0,0,1,South,1,19,4,2,4,2,1,12,1,0,1,0,1,1,0,1,1,0,0,0
0,Other,1,1,1,South,0,15,3,3,1,2,8,0,7,1,7,0,1,0,1,0,1,0,0,0
1,Other,2,1,1,South,1,16,3,1,1,2,42,0,7,1,7,0,1,0,1,0,1,0,0,0
1,Black,1,1,1,South,0,16,2,1,4,3,10,0,7,1,7,1,0,1,0,0,1,0,0,0
1,Black,3,0,1,South,0,14,2,2,2,3,7,9,7,0,7,1,0,0,0,1,1,0,0,0
1,Black,3,1,0,South,0,16,2,2,4,2,7,0,7,1,7,0,0,1,0,1,1,0,0,0
1,Black,2,0,1,South,1,16,3,1,4,3,22,7,7,0,7,1,0,1,1,0,1,0,0,0
0,Black,0,1,1,South,1,16,3,1,3,2,3,2,3,1,3,0,0,0,1,0,1,0,0,0
1,Black,2,1,1,South,0,13,3,1,4,2,5,1,5,1,5,0,0,1,1,0,1,0,0,0
1,Black,2,1,1,South,0,16,2,1,4,3,2,0,2,1,2,1,0,1,0,0,1,0,0,0
1,Black,1,1,1,South,0,17,3,1,4,2,1,9,1,1,1,0,0,1,1,0,1,0,0,0
0,Other,0,2,0,South,0,12,2,1,3,2,22,0,7,2,7,0,1,0,0,0,1,0,0,0
1,Black,0,2,1,South,1,17,3,1,4,1,2,1,2,2,2,0,0,1,1,0,1,0,0,0
0,Black,0,2,1,South,1,13,2,1,3,2,5,12,5,2,5,0,0,0,0,0,1,0,0,0
1,Other,2,1,0,South,0,15,1,2,3,3,5,0,5,1,5,1,1,0,0,1,1,0,0,0
1,Black,3,1,0,South,0,16,3,1,3,3,5,0,5,1,5,1,0,0,1,0,1,0,0,0
1,Black,2,1,0,South,0,16,2,1,4,3,5,0,5,1,5,1,0,1,0,0,1,0,0,0
0,Black,6,3,0,South,0,13,1,1,4,2,6,0,6,3,6,0,0,1,0,0,1,0,0,0
1,Black,1,1,0,South,1,17,3,2,4,2,4,5,4,1,4,0,0,1,1,1,1,0,0,0
1,Black,1,1,0,South,1,13,2,1,4,1,4,2,4,1,4,0,0,1,0,0,1,0,0,0
0,Other,0,1,1,South,1,15,3,2,1,2,6,12,6,1,6,0,1,0,1,1,1,0,0,0
1,Black,0,,1,South,0,,3,2,4,2,0,0,0,,0,0,0,1,1,1,1,0,0,0
0,Black,0,3,1,South,0,15,3,2,4,2,8,4,7,3,7,0,0,1,1,1,1,0,0,0
