FINALVOTE_STATE_WEIGHT,state,male,age1,age2,age3,age4,age5,age6,hsless,somecoll,coll,postcoll,white,black,hisp,other,lib,noideo,demparty
1.067246906,AZ,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0.1191876606,AZ,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
0.1374143634,AZ,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
0.1322795655,AZ,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1
0.3179721798,AZ,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1
2.44602535,AZ,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
1.8108637754,AZ,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
0.4545171999,AZ,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
0.3934841764,AZ,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1
0.130530912,AZ,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1
1.4581769566,AZ,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1
0.3426927119,AZ,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1
0.0924016254,AZ,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1
2.0782351478,AZ,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1
0.8137730084,AZ,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
0.364060687,AZ,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
0.4406256766,AZ,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1
3.3880417848,AZ,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0.3742295866,AZ,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
0.4977006659,AZ,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
0.2891622528,AZ,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1
0.169066389,AZ,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
0.0579853078,AZ,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
1.2296815358,AZ,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
1.074908046,AZ,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
2.7578910775,AZ,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.5675381422,AZ,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1
1.6451367579,AZ,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1
0.0714714976,AZ,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1
0.1612350648,AZ,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1
0.9021334641,AZ,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1
0.3480272084,AZ,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
3.4148588515,AZ,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
3.609861677,AZ,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
3.732012526,AZ,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
0.4589789325,AZ,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1
0.09238125,AZ,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0.3168788856,AZ,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
0.2877122323,AZ,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
0.8501752929,AZ,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1
0.3976459407,AZ,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1
0.5523468693,AZ,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
0.0567956222,AZ,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
0.0539303744,AZ,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
0.1083124107,AZ,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
1.0440882446,AZ,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
0.8831349646,AZ,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1
2.6204906312,AZ,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2.2918895159,AZ,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
0.2307121747,AZ,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1
3.9739237739,AZ,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
0.3968852465,AZ,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
0.6010252695,AZ,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
3.8360008234,AZ,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
0.6896175362,AZ,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1
1.4574485026,AZ,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
0.1320443627,AZ,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1
